"InsurancePolicyNumber","CustomerLoyaltyPeriod","DateOfPolicyCoverage","InsurancePolicyState","Policy_CombinedSingleLimit","Policy_Deductible","PolicyAnnualPremium","UmbrellaLimit","InsuredRelationship","CustomerID"
110544,8,2012-10-09,"State2","500/1000",500,1021.9,0,"husband","Cust1423"
110545,297,1993-02-10,"State2","100/300",1000,1538.6,0,"wife","Cust1424"
110546,150,1994-09-28,"State2","500/1000",1000,1354.5,0,"husband","Cust1425"
110548,210,1991-12-25,"State1","500/1000",1000,1346.27,0,"not-in-family","Cust1427"
110549,91,1999-09-18,"State2","100/300",1000,1338.4,4000000,"own-child","Cust1428"
110550,167,1994-02-03,"State1","100/300",1000,949.44,0,"other-relative","Cust1429"
110551,467,2003-01-18,"State2","500/1000",2000,977.4,0,"own-child","Cust1430"
110552,264,2005-03-07,"State2","250/500",2000,1181.46,10000000,"other-relative","Cust1431"
110553,270,2003-08-23,"State3","500/1000",500,1187.53,0,"not-in-family","Cust1432"
110555,143,2014-03-19,"State1","100/300",500,1442.27,0,"wife","Cust1434"
110558,61,2007-03-09,"State1","100/300",500,1111.72,0,"other-relative","Cust1437"
110559,255,2004-01-03,"State3","500/1000",2000,814.96,6000000,"not-in-family","Cust1438"
110560,211,1991-04-25,"State1","500/1000",1000,1575.86,0,"own-child","Cust1439"
110561,61,1995-03-14,"State2","250/500",1000,1115.27,0,"unmarried","Cust1440"
110562,108,2005-12-09,"State2","500/1000",2000,1175.7,0,"not-in-family","Cust1441"
110565,120,2001-10-27,"State2","500/1000",1000,1056.71,0,"not-in-family","Cust1444"
110566,144,1993-10-31,"State2","500/1000",2000,1255.68,6000000,"other-relative","Cust1445"
110567,414,2003-02-13,"State2","500/1000",500,1335.13,0,"unmarried","Cust1446"
110568,163,2004-03-06,"State2","250/500",500,1178.95,6000000,"own-child","Cust1447"
110569,352,2013-07-12,"State1","250/500",500,1793.16,0,"wife","Cust1448"
110570,27,2014-08-27,"State3","100/300",500,1008.38,0,"other-relative","Cust1449"
110571,239,1990-06-22,"State1","100/300",500,1396.83,0,"husband","Cust1450"
110572,33,2008-03-07,"State3","100/300",500,1402.78,5000000,"husband","Cust1451"
110574,101,1991-09-03,"State1","500/1000",1000,1313.64,0,"unmarried","Cust1453"
110576,126,2012-10-06,"State1","250/500",2000,1171.75,0,"not-in-family","Cust1455"
110577,264,2014-01-18,"State1","500/1000",2000,1353.33,0,"not-in-family","Cust1456"
110578,78,1992-03-22,"State2","100/300",500,1175.51,0,"husband","Cust1457"
110579,123,2012-12-03,"State1","100/300",2000,1836.02,0,"own-child","Cust1458"
110580,347,1996-10-18,"State3","500/1000",500,1480.79,9000000,"unmarried","Cust1459"
110583,410,2010-08-29,"State1","100/300",2000,714.03,0,"own-child","Cust1462"
110584,448,2005-03-31,"State1","100/300",2000,1376.16,0,"own-child","Cust1463"
110586,43,2014-03-11,"State3","500/1000",1000,1601.47,0,"other-relative","Cust1465"
110587,33,1997-08-04,"State1","500/1000",1000,1096.79,6000000,"unmarried","Cust1466"
110588,126,2007-11-14,"State2","100/300",2000,1078.22,0,"wife","Cust1467"
110589,411,1992-07-30,"State1","250/500",1000,1595.28,0,"other-relative","Cust1468"
110591,35,2002-09-10,"State1","100/300",2000,1117.42,0,"not-in-family","Cust1470"
110593,195,1993-05-18,"State1","500/1000",2000,1294.93,6000000,"unmarried","Cust1472"
110595,300,1995-12-17,"State1","100/300",1000,1441.21,0,"wife","Cust1474"
110598,67,1995-11-13,"State1","250/500",1000,1861.43,0,"husband","Cust1477"
110599,380,2004-11-04,"State3","100/300",1000,1570.86,0,"other-relative","Cust1478"
110600,389,1998-03-21,"State1","500/1000",2000,791.47,0,"unmarried","Cust1479"
110601,317,1999-07-22,"State2","250/500",1000,1012.78,0,"other-relative","Cust1480"
110603,20,2005-01-30,"State3","250/500",1000,1390.29,0,"other-relative","Cust1482"
110604,116,2001-11-29,"State2","500/1000",500,951.46,0,"not-in-family","Cust1483"
110605,222,2012-12-24,"State1","100/300",1000,1226.78,0,"unmarried","Cust1484"
110606,439,1997-05-11,"State3","100/300",500,1280.9,0,"own-child","Cust1485"
110608,128,2010-11-04,"State3","500/1000",1000,1878.44,0,"husband","Cust1487"
110609,69,1992-06-19,"State2","500/1000",500,1418.5,0,"other-relative","Cust1488"
110610,294,2010-06-02,"State1","100/300",500,1532.8,0,"own-child","Cust1489"
110611,19,2002-10-12,"State3","250/500",500,1304.35,0,"not-in-family","Cust1490"
110613,4,1996-09-05,"State1","100/300",1000,1326.98,6000000,"unmarried","Cust1492"
110614,298,1998-03-16,"State3","250/500",500,862.92,0,"wife","Cust1493"
110616,338,2008-01-25,"State3","250/500",2000,1486.04,0,"own-child","Cust1495"
110617,261,2000-09-10,"State2","100/300",1000,870.55,0,"unmarried","Cust1496"
110618,321,2008-04-23,"State1","500/1000",2000,1344.56,6000000,"husband","Cust1497"
110620,405,2012-04-24,"State1","250/500",500,1237.88,0,"not-in-family","Cust1499"
110622,1,2006-05-24,"State3","500/1000",500,854.58,0,"other-relative","Cust1501"
110623,26,1992-01-30,"State2","250/500",1000,770.76,0,"husband","Cust1502"
110624,202,2009-01-24,"State1","100/300",2000,1132.74,0,"husband","Cust1503"
110625,289,1995-08-29,"State1","500/1000",500,1173.37,8000000,"own-child","Cust1504"
110627,334,2013-01-05,"State1","100/300",1000,876.88,6000000,"other-relative","Cust1506"
110630,83,2006-01-01,"State2","500/1000",1000,-1,0,"unmarried","Cust1509"
110631,126,1998-09-10,"State1","500/1000",2000,916.13,0,"unmarried","Cust1510"
110632,209,2010-01-28,"State3","250/500",500,1191.5,0,"husband","Cust1511"
110633,283,2003-01-04,"State3","500/1000",1000,1474.66,0,"husband","Cust1512"
110634,194,2004-05-24,"State1","250/500",1000,1193.45,0,"not-in-family","Cust1513"
110635,184,1994-09-12,"State1","250/500",1000,1437.53,0,"not-in-family","Cust1514"
110636,479,1997-07-07,"State1","100/300",2000,1304.83,0,"husband","Cust1515"
110637,284,1991-03-01,"State3","250/500",1000,1168.8,0,"other-relative","Cust1516"
110639,222,2012-01-10,"State1","250/500",1000,1232.72,0,"own-child","Cust1518"
110640,196,2001-07-05,"State1","250/500",2000,1800.76,0,"other-relative","Cust1519"
110642,280,2012-07-24,"State2","100/300",1000,1559.34,0,"own-child","Cust1521"
110643,5,2014-07-27,"State1","250/500",2000,1137.02,0,"not-in-family","Cust1522"
110645,85,2001-12-09,"State3","100/300",1000,796.35,0,"own-child","Cust1524"
110646,266,1990-03-14,"State3","250/500",500,1270.02,0,"own-child","Cust1525"
110647,41,2006-03-28,"State1","100/300",1000,1383.13,0,"own-child","Cust1526"
110648,316,2013-12-23,"State1","100/300",2000,1290.74,5000000,"husband","Cust1527"
110650,379,2001-12-27,"State1","100/300",500,1251.16,0,"not-in-family","Cust1529"
110651,15,2005-04-07,"State2","250/500",2000,1586.41,0,"other-relative","Cust1530"
110652,354,2003-04-08,"State1","500/1000",2000,1526.11,5000000,"unmarried","Cust1531"
110653,342,2005-11-14,"State2","100/300",1000,1028.44,0,"not-in-family","Cust1532"
110654,169,2005-01-07,"State1","100/300",1000,1555.94,0,"own-child","Cust1533"
110656,259,1996-01-23,"State3","100/300",2000,1170.53,0,"wife","Cust1535"
110657,65,1999-12-12,"State3","250/500",1000,1099.95,0,"wife","Cust1536"
110658,254,2004-07-15,"State1","250/500",2000,1472.43,0,"husband","Cust1537"
110659,440,2012-11-07,"State1","250/500",500,1275.62,0,"other-relative","Cust1538"
110660,478,2009-06-29,"State1","250/500",1000,1292.3,0,"own-child","Cust1539"
110661,230,2000-06-26,"State2","250/500",2000,1009.37,0,"other-relative","Cust1540"
110662,138,2002-01-09,"State3","500/1000",500,1093.07,4000000,"wife","Cust1541"
110663,239,2013-11-11,"State3","250/500",1000,1325.44,7000000,"other-relative","Cust1542"
110664,93,2008-01-14,"State1","100/300",2000,1017.18,0,"husband","Cust1543"
110665,37,2003-03-04,"State3","100/300",1000,1221.17,0,"not-in-family","Cust1544"
110669,313,2004-06-30,"State3","100/300",2000,1255.62,0,"unmarried","Cust1548"
110670,210,1998-12-19,"State2","250/500",500,999.52,0,"other-relative","Cust1549"
110671,101,2014-08-31,"State3","250/500",500,1380.89,0,"own-child","Cust1550"
110672,153,2005-11-10,"State2","500/1000",500,1010.77,0,"unmarried","Cust1551"
110673,337,2000-05-04,"State3","100/300",500,1205.86,0,"wife","Cust1552"
110674,360,2001-11-26,"State1","500/1000",1000,1526.61,0,"not-in-family","Cust1553"
110675,428,2014-05-06,"State1","100/300",1000,1496.44,0,"unmarried","Cust1554"
110677,364,1992-04-28,"State1","100/300",500,1268.35,0,"wife","Cust1556"
110678,185,2000-03-04,"State2","500/1000",2000,1421.59,0,"own-child","Cust1557"
110679,63,1995-10-12,"State1","500/1000",500,1500.04,6000000,"own-child","Cust1558"
110680,210,2014-04-25,"State1","100/300",500,1433.24,0,"not-in-family","Cust1559"
110681,194,2011-01-26,"State2","100/300",2000,1231.25,0,"not-in-family","Cust1560"
110684,27,2002-06-29,"State2","100/300",2000,1118.76,0,"own-child","Cust1563"
110685,251,1999-04-09,"State2","500/1000",2000,1231.98,0,"not-in-family","Cust1564"
110687,392,1991-08-22,"State3","100/300",2000,1108.97,0,"not-in-family","Cust1566"
110688,143,1991-11-28,"State2","100/300",500,1392.39,5000000,"unmarried","Cust1567"
110690,292,2007-03-04,"State2","250/500",1000,1588.22,0,"other-relative","Cust1569"
110692,158,2013-12-21,"State3","100/300",1000,1744.64,3000000,"unmarried","Cust1571"
110696,102,2014-09-02,"State3","100/300",500,1537.07,3000000,"wife","Cust1575"
110697,182,2011-12-12,"State2","100/300",1000,1022.42,0,"husband","Cust1576"
110698,282,1991-08-17,"State3","100/300",2000,1558.86,0,"wife","Cust1577"
110699,222,2004-02-29,"State3","500/1000",500,1757.87,0,"not-in-family","Cust1578"
110700,415,2015-02-22,"State2","250/500",1000,973.5,0,"not-in-family","Cust1579"
110702,255,1990-10-13,"State1","500/1000",500,1192.27,0,"own-child","Cust1581"
110703,143,2014-07-05,"State1","250/500",500,1163.83,0,"husband","Cust1582"
110704,130,1991-11-25,"State3","500/1000",1000,1003.15,0,"other-relative","Cust1583"
110705,242,1990-10-02,"State3","250/500",2000,1153.54,6000000,"unmarried","Cust1584"
110706,96,2009-02-17,"State1","100/300",1000,1631.1,0,"wife","Cust1585"
110708,150,1994-03-12,"State2","100/300",1000,1677.26,0,"own-child","Cust1587"
110710,472,2012-08-25,"State2","250/500",500,989.24,0,"not-in-family","Cust1589"
110711,75,2011-12-02,"State1","500/1000",1000,1389.86,0,"husband","Cust1590"
110712,193,2005-02-25,"State3","100/300",500,1233.85,0,"husband","Cust1591"
110713,43,1997-11-07,"State1","500/1000",500,1320.39,0,"not-in-family","Cust1592"
110714,253,2004-04-20,"State2","100/300",1000,1435.09,0,"not-in-family","Cust1593"
110715,152,2009-11-17,"State2","500/1000",500,1448.54,0,"wife","Cust1594"
110716,160,2009-09-19,"State3","250/500",500,1733.56,0,"wife","Cust1595"
110717,56,2009-11-08,"State2","100/300",500,1533.07,0,"own-child","Cust1596"
110719,3,1992-11-27,"State1","100/300",500,995.7,5000000,"unmarried","Cust1598"
110721,239,1990-08-25,"State3","250/500",1000,1276.73,5000000,"other-relative","Cust1600"
110722,64,2011-10-22,"State3","250/500",2000,1202.28,0,"other-relative","Cust1601"
110723,98,1990-02-01,"State2","100/300",500,671.92,0,"wife","Cust1602"
110724,16,1990-11-27,"State1","250/500",1000,1358.03,0,"own-child","Cust1603"
110725,70,2004-07-16,"State2","250/500",1000,1008.79,4000000,"own-child","Cust1604"
110727,246,1995-03-08,"State3","100/300",1000,1397,0,"not-in-family","Cust1606"
110728,110,2009-08-03,"State3","500/1000",1000,1664.66,0,"own-child","Cust1607"
110729,236,1996-11-03,"State2","250/500",1000,1151.39,4000000,"wife","Cust1608"
110730,267,2004-08-09,"State3","100/300",2000,1546.01,0,"wife","Cust1609"
110731,463,1991-07-20,"State1","250/500",500,1063.67,0,"wife","Cust1610"
110732,303,2005-01-14,"State2","100/300",1000,709.14,0,"husband","Cust1611"
110733,137,2011-12-16,"State1","250/500",500,1039.55,0,"unmarried","Cust1612"
110734,56,1996-07-07,"State1","250/500",500,1339.39,0,"not-in-family","Cust1613"
110735,75,1992-08-05,"State2","250/500",1000,1202.75,0,"not-in-family","Cust1614"
110737,153,1994-02-27,"State1","250/500",500,991.39,0,"other-relative","Cust1616"
110738,255,2007-05-06,"State2","500/1000",500,984.02,0,"unmarried","Cust1617"
110739,103,2014-04-21,"State1","100/300",500,1354.83,0,"husband","Cust1618"
110740,97,2010-02-11,"State3","100/300",1000,830.31,0,"husband","Cust1619"
110742,438,1991-10-05,"State3","500/1000",500,1119.29,0,"husband","Cust1621"
110743,87,2004-01-03,"State3","100/300",500,1048.39,0,"own-child","Cust1622"
110745,206,1993-10-10,"State1","500/1000",1000,1230.76,0,"unmarried","Cust1624"
110746,127,2002-07-09,"State3","500/1000",500,1255.02,0,"not-in-family","Cust1625"
110747,422,2010-11-14,"State2","100/300",1000,1555.52,0,"own-child","Cust1626"
110750,239,1990-08-18,"State2","250/500",2000,625.08,0,"wife","Cust1629"
110752,128,2004-07-22,"State2","500/1000",500,1366.6,0,"other-relative","Cust1631"
110753,147,2009-08-02,"State3","500/1000",1000,1439.9,6000000,"husband","Cust1632"
110754,287,2007-07-05,"State3","500/1000",1000,1230.69,0,"not-in-family","Cust1633"
110755,142,2010-01-24,"State3","100/300",2000,1307.68,0,"husband","Cust1634"
110756,162,2000-05-15,"State1","500/1000",2000,1124.69,0,"husband","Cust1635"
110757,140,2008-03-21,"State3","100/300",1000,1520.78,0,"wife","Cust1636"
110758,106,1990-05-07,"State3","100/300",2000,1609.11,0,"own-child","Cust1637"
110759,292,1991-02-05,"State1","500/1000",1000,1358.91,0,"unmarried","Cust1638"
110760,34,1992-03-19,"State3","500/1000",500,1295.87,0,"husband","Cust1639"
110761,290,2013-04-24,"State1","250/500",500,1161.03,5000000,"not-in-family","Cust1640"
110763,362,2008-12-01,"State3","100/300",1000,1097.99,0,"unmarried","Cust1642"
110764,143,2000-07-05,"State1","500/1000",1000,1464.42,0,"husband","Cust1643"
110765,183,2014-06-11,"State1","250/500",500,1543.68,0,"not-in-family","Cust1644"
110766,254,1995-04-23,"State1","250/500",500,1390.89,5000000,"wife","Cust1645"
110767,249,1990-09-16,"State3","100/300",2000,1148.58,0,"not-in-family","Cust1646"
110769,235,1995-10-09,"State1","500/1000",500,1398.94,0,"husband","Cust1648"
110770,112,1999-12-21,"State3","500/1000",1000,1238.92,0,"other-relative","Cust1649"
110771,16,2002-07-28,"State1","100/300",1000,968.46,0,"not-in-family","Cust1650"
110772,128,1993-08-03,"State1","100/300",500,1045.12,0,"other-relative","Cust1651"
110775,109,2006-10-01,"State3","100/300",2000,1007.28,6000000,"husband","Cust1654"
110776,2,2003-03-09,"State2","500/1000",1000,1189.98,4000000,"other-relative","Cust1655"
110777,198,2003-05-29,"State3","250/500",1000,1576.41,0,"other-relative","Cust1656"
110778,107,2002-05-06,"State3","100/300",500,1172.82,4000000,"other-relative","Cust1657"
110779,252,2004-02-28,"State1","500/1000",500,1312.22,9000000,"other-relative","Cust1658"
110780,303,1999-01-14,"State3","500/1000",1000,671.01,7000000,"other-relative","Cust1659"
110783,330,1998-06-24,"State3","250/500",1000,1625.65,0,"husband","Cust1662"
110784,211,2011-01-06,"State3","250/500",2000,1295.63,4000000,"not-in-family","Cust1663"
110785,172,2012-02-24,"State1","100/300",1000,1459.96,6000000,"wife","Cust1664"
110786,316,2011-06-25,"State3","100/300",500,1219.94,7000000,"wife","Cust1665"
110788,344,2008-06-27,"State1","100/300",1000,959.83,0,"not-in-family","Cust1667"
110789,204,1993-08-30,"State3","250/500",2000,1767.02,0,"husband","Cust1668"
110790,278,2008-04-21,"State2","500/1000",500,1285.01,0,"not-in-family","Cust1669"
110791,434,2000-06-23,"State3","500/1000",2000,1422.95,0,"husband","Cust1670"
110793,250,1990-03-28,"State1","500/1000",2000,1539.06,0,"other-relative","Cust1672"
110794,61,1998-01-29,"State2","100/300",2000,988.06,0,"not-in-family","Cust1673"
110795,80,2014-12-05,"State1","500/1000",1000,1740.57,0,"wife","Cust1674"
110797,4,2002-05-27,"State1","250/500",500,1381.88,5000000,"other-relative","Cust1676"
110800,276,2000-03-22,"State1","500/1000",500,948.1,0,"wife","Cust1679"
110802,222,2008-06-17,"State2","100/300",2000,1157.97,0,"not-in-family","Cust1681"
110804,78,1992-02-29,"State3","500/1000",500,1060.88,0,"other-relative","Cust1683"
110805,238,1996-05-11,"State3","250/500",1000,1524.45,4000000,"wife","Cust1684"
110806,313,2013-04-03,"State2","250/500",1000,1556.17,0,"wife","Cust1685"
110807,334,2009-11-12,"State3","500/1000",500,1216.24,0,"wife","Cust1686"
110810,290,2008-07-21,"State2","250/500",1000,1393.34,0,"other-relative","Cust1689"
110811,26,2010-09-11,"State3","100/300",1000,1484.48,0,"not-in-family","Cust1690"
110812,254,1995-12-22,"State1","250/500",500,1581.27,5000000,"own-child","Cust1691"
110813,199,1991-09-26,"State1","250/500",1000,1281.25,0,"other-relative","Cust1692"
110814,137,2010-03-11,"State2","250/500",500,1667.83,0,"husband","Cust1693"
110815,134,1990-07-15,"State3","250/500",1000,1497.41,0,"husband","Cust1694"
110816,73,2009-05-10,"State3","100/300",500,803.36,0,"husband","Cust1695"
110817,289,1999-10-28,"State3","250/500",2000,1221.41,0,"wife","Cust1696"
110818,176,1995-03-30,"State3","250/500",500,1865.83,5000000,"unmarried","Cust1697"
110819,145,1991-12-14,"State3","250/500",2000,1434.27,0,"unmarried","Cust1698"
110820,164,2011-01-31,"State2","500/1000",500,1114.68,0,"husband","Cust1699"
110821,186,2006-04-21,"State3","250/500",2000,1218.56,0,"husband","Cust1700"
110822,85,2004-03-10,"State1","250/500",2000,1234.69,9000000,"husband","Cust1701"
110823,162,1991-01-05,"State3","250/500",500,964.92,0,"other-relative","Cust1702"
110824,396,1996-10-15,"State1","500/1000",500,1351.72,0,"wife","Cust1703"
110825,270,1994-06-21,"State1","250/500",1000,817.28,0,"unmarried","Cust1704"
110826,168,1994-06-13,"State1","500/1000",1000,1389.59,0,"own-child","Cust1705"
110827,274,2003-05-27,"State2","250/500",1000,1353.53,0,"unmarried","Cust1706"
110828,263,1996-07-06,"State2","500/1000",1000,1294.04,0,"not-in-family","Cust1707"
110829,152,2005-05-08,"State3","100/300",1000,840.81,0,"husband","Cust1708"
110830,46,2010-11-02,"State3","100/300",2000,998.19,0,"husband","Cust1709"
110834,456,2009-06-24,"State3","250/500",1000,1395.77,0,"own-child","Cust1713"
110836,475,2004-08-12,"State1","500/1000",500,1265.72,0,"wife","Cust1715"
110837,96,2006-12-24,"State2","250/500",1000,1274.7,5000000,"other-relative","Cust1716"
110838,99,2007-07-24,"State3","100/300",500,1330.39,0,"wife","Cust1717"
110839,38,1994-08-17,"State3","500/1000",500,1122.95,4000000,"other-relative","Cust1718"
110840,259,1996-04-10,"State3","250/500",2000,1655.79,0,"husband","Cust1719"
110841,241,1992-12-11,"State2","250/500",1000,935.77,0,"own-child","Cust1720"
110842,437,2010-08-01,"State2","500/1000",2000,1192.04,0,"own-child","Cust1721"
110843,130,2009-03-23,"State3","100/300",500,990.11,0,"other-relative","Cust1722"
110844,269,1996-07-29,"State3","100/300",2000,1422.21,0,"unmarried","Cust1723"
110848,267,2002-02-10,"State3","250/500",500,1300.68,0,"unmarried","Cust1727"
110850,140,1996-10-23,"State1","250/500",1000,985.97,5000000,"other-relative","Cust1729"
110851,243,1997-04-21,"State2","100/300",1000,1129.23,0,"own-child","Cust1730"
110852,116,2008-11-09,"State2","250/500",500,1194.83,0,"husband","Cust1731"
110853,219,2002-06-20,"State2","100/300",1000,1114.29,0,"other-relative","Cust1732"
110855,149,2005-08-28,"State2","250/500",500,664.86,0,"wife","Cust1734"
110856,246,2013-01-16,"State2","250/500",1000,1267.4,6000000,"husband","Cust1735"
110858,339,2005-10-10,"State3","100/300",500,1698.51,0,"unmarried","Cust1737"
